	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0848444339	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	61.0	119.0	0.0	0.0	61.0	0.0	46.0	15.0	0.0	17.0	R30	2016-05-10	non_curated
MODEL0848507209	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	6.0	12.0	0.0	0.0	6.0	0.0	1.0	5.0	0.0	8.0	R30	2016-05-10	non_curated
MODEL0848676877	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	8.0	19.0	0.0	0.0	8.0	0.0	4.0	4.0	0.0	6.0	R30	2016-05-10	non_curated
MODEL0909931851	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	6.0	13.0	0.0	0.0	6.0	0.0	5.0	1.0	0.0	2.0	R30	2016-05-10	non_curated
MODEL0910846879	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	10.0	20.0	0.0	0.0	10.0	0.0	9.0	1.0	0.0	1.0	R30	2016-05-10	non_curated
MODEL0910896131	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	2.0	8.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	R30	2016-05-10	non_curated
MODEL0910928451	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	15.0	25.0	0.0	0.0	15.0	0.0	14.0	1.0	0.0	1.0	R30	2016-05-10	non_curated
MODEL0911047946	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	15.0	24.0	0.0	0.0	15.0	0.0	13.0	2.0	0.0	21.0	R30	2016-05-10	non_curated
MODEL0911091440	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	16.0	24.0	0.0	0.0	16.0	0.0	14.0	2.0	0.0	1.0	R30	2016-05-10	non_curated
MODEL0911120000	3.0	0.0	4.0	4.0	4.0	12.0	0.0	4.0	0.0	0.0	18.0	18.0	L2V4	42.0	45.0	0.0	18.0	12.0	0.0	12.0	0.0	9.0	0.0	R30	2016-05-10	non_curated
